Predictions (y,pred,y-pred) by the model of dimension:     1
    0.6680000000E+00    0.4121733342E+00    0.2558266658E+00
   -0.2300000000E-01   -0.8974286089E-01    0.6674286089E-01
    0.2492000000E+01    0.2494925630E+01   -0.2925630372E-02
    0.6550000000E+00    0.7716950438E+00   -0.1166950438E+00
    0.1255000000E+01    0.1196676565E+01    0.5832343493E-01
    0.1550000000E+00    0.2824876546E+00   -0.1274876546E+00
    0.1154000000E+01    0.1040304682E+01    0.1136953177E+00
    0.3110000000E+00    0.1490056601E+00    0.1619943399E+00
    0.6480000000E+00    0.6712184332E+00   -0.2321843317E-01
   -0.2480000000E+00   -0.2859331813E+00    0.3793318132E-01
    0.6100000000E+00    0.4191391831E+00    0.1908608169E+00
    0.1019000000E+01    0.9915238259E+00    0.2747617405E-01
    0.1112000000E+01    0.1057985111E+01    0.5401488909E-01
    0.7350000000E+00    0.7813795888E+00   -0.4637958878E-01
    0.9840000000E+00    0.1130305839E+01   -0.1463058388E+00
    0.2890000000E+00    0.2076214041E+00    0.8137859593E-01
    0.2105000000E+01    0.1930795042E+01    0.1742049584E+00
    0.9350000000E+00    0.8290415721E+00    0.1059584279E+00
    0.2650000000E+00    0.1480251645E+00    0.1169748355E+00
    0.2263000000E+01    0.2302548867E+01   -0.3954886650E-01
    0.2567000000E+01    0.2329757191E+01    0.2372428089E+00
Prediction RMSE and MaxAE:         0.1301488044        0.2558266658
