Predictions (y,pred,y-pred) by the model of dimension:     1
    0.3630000000E+00    0.3239069144E+00    0.3909308556E-01
    0.3230000000E+00    0.4340009383E+00   -0.1110009383E+00
   -0.1180000000E+00   -0.9786413637E-01   -0.2013586363E-01
    0.5260000000E+00    0.1303942352E+00    0.3956057648E+00
    0.5900000000E+00    0.4943710304E+00    0.9562896963E-01
    0.3800000000E+00    0.4945029796E+00   -0.1145029796E+00
Prediction RMSE and MaxAE:         0.1949410579        0.3956057648
Predictions (y,pred,y-pred) by the model of dimension:     3
    0.3320000000E+00    0.3499122736E+00   -0.1791227360E-01
    0.9800000000E-01   -0.1590130884E+00    0.2570130884E+00
   -0.8330000000E+00   -0.6642835709E+00   -0.1687164291E+00
    0.5920000000E+00    0.6037540007E+00   -0.1175400067E-01
    0.1710000000E+00    0.1780269430E+00   -0.7026943012E-02
    0.2740000000E+00    0.7468208045E+00   -0.4728208045E+00
   -0.2860000000E+00   -0.8346241411E-01   -0.2025375859E+00
    0.6910000000E+00    0.6891274920E+00    0.1872508042E-02
    0.3970000000E+00    0.3357077816E+00    0.6129221839E-01
    0.8750000000E+00    0.9750216063E+00   -0.1000216063E+00
   -0.8000000000E-01    0.5020015784E-01   -0.1302001578E+00
    0.4440000000E+00    0.5179253486E+00   -0.7392534862E-01
   -0.3190000000E+00   -0.3741236516E+00    0.5512365155E-01
    0.2090000000E+00    0.2817740005E+00   -0.7277400048E-01
   -0.5900000000E-01   -0.1083563078E+00    0.4935630775E-01
    0.1870000000E+00   -0.6417192118E-01    0.2511719212E+00
    0.7230000000E+00    0.5534912245E+00    0.1695087755E+00
    0.4960000000E+00    0.4998806138E+00   -0.3880613820E-02
    0.6810000000E+00    0.5822312948E+00    0.9876870520E-01
   -0.4960000000E+00   -0.2445247003E+00   -0.2514752997E+00
    0.1700000000E+00    0.1377676786E+00    0.3223232136E-01
    0.3050000000E+00    0.3978936502E+00   -0.9289365016E-01
    0.2050000000E+00   -0.1337088975E-01    0.2183708898E+00
    0.6570000000E+00    0.6106548943E+00    0.4634510566E-01
    0.2330000000E+00    0.3848492455E+00   -0.1518492455E+00
   -0.2600000000E-01   -0.2801649216E+00    0.2541649216E+00
   -0.6460000000E+00   -0.4783581788E+00   -0.1676418212E+00
    0.6930000000E+00    0.4618422361E+00    0.2311577639E+00
   -0.4500000000E-01    0.4231911587E-01   -0.8731911587E-01
   -0.6060000000E+00   -0.4984353155E+00   -0.1075646845E+00
    0.7240000000E+00    0.7605381652E+00   -0.3653816515E-01
   -0.2490000000E+00   -0.1617505553E+00   -0.8724944471E-01
    0.2490000000E+00    0.3913646757E+00   -0.1423646757E+00
    0.4780000000E+00    0.5467559334E+00   -0.6875593335E-01
    0.4470000000E+00    0.3383590970E+00    0.1086409030E+00
    0.7660000000E+00    0.5228263156E+00    0.2431736844E+00
   -0.1400000000E-01    0.3256479903E+00   -0.3396479903E+00
    0.2040000000E+00    0.7109051793E-01    0.1329094821E+00
    0.2640000000E+00    0.3521000444E+00   -0.8810004435E-01
    0.1185000000E+01    0.1005796191E+01    0.1792038091E+00
    0.4650000000E+00    0.4825826610E+00   -0.1758266101E-01
    0.4660000000E+00    0.4508977778E+00    0.1510222222E-01
   -0.1040000000E+00   -0.3086021900E+00    0.2046021900E+00
    0.9240000000E+00    0.8358521502E+00    0.8814784980E-01
    0.5060000000E+00    0.6710487535E+00   -0.1650487535E+00
    0.3630000000E+00    0.2728320359E+00    0.9016796408E-01
    0.3230000000E+00    0.3732289633E+00   -0.5022896332E-01
   -0.1180000000E+00   -0.9215244923E-01   -0.2584755077E-01
    0.5260000000E+00    0.3756372927E+00    0.1503627073E+00
    0.5900000000E+00    0.4873202375E+00    0.1026797625E+00
    0.3800000000E+00    0.3744524017E+00    0.5547598280E-02
Prediction RMSE and MaxAE:         0.1546013507        0.4728208045
Predictions (y,pred,y-pred) by the model of dimension:     4
    0.3320000000E+00    0.2865828120E+00    0.4541718796E-01
    0.9800000000E-01   -0.1854551401E+00    0.2834551401E+00
   -0.8330000000E+00   -0.7138005489E+00   -0.1191994511E+00
    0.5920000000E+00    0.5847582338E+00    0.7241766163E-02
    0.1710000000E+00    0.1859054720E+00   -0.1490547203E-01
    0.2740000000E+00    0.6891088576E+00   -0.4151088576E+00
   -0.2860000000E+00   -0.1159705045E+00   -0.1700294955E+00
    0.6910000000E+00    0.6704720115E+00    0.2052798854E-01
    0.3970000000E+00    0.3298748830E+00    0.6712511703E-01
    0.8750000000E+00    0.9399764370E+00   -0.6497643696E-01
   -0.8000000000E-01    0.3751208121E-01   -0.1175120812E+00
    0.4440000000E+00    0.5313978841E+00   -0.8739788412E-01
   -0.3190000000E+00   -0.2184437308E+00   -0.1005562692E+00
    0.2090000000E+00    0.2624951811E+00   -0.5349518112E-01
   -0.5900000000E-01   -0.1150606553E+00    0.5606065525E-01
    0.1870000000E+00   -0.9346881977E-01    0.2804688198E+00
    0.7230000000E+00    0.5993299647E+00    0.1236700353E+00
    0.4960000000E+00    0.5145654760E+00   -0.1856547602E-01
    0.6810000000E+00    0.5890501943E+00    0.9194980573E-01
   -0.4960000000E+00   -0.3023280562E+00   -0.1936719438E+00
    0.1700000000E+00    0.1329242506E+00    0.3707574938E-01
    0.3050000000E+00    0.4127362112E+00   -0.1077362112E+00
    0.2050000000E+00    0.1205733863E+00    0.8442661370E-01
    0.6570000000E+00    0.4833765507E+00    0.1736234493E+00
    0.2330000000E+00    0.3928358645E+00   -0.1598358645E+00
   -0.2600000000E-01   -0.3115421020E+00    0.2855421020E+00
   -0.6460000000E+00   -0.5121357550E+00   -0.1338642450E+00
    0.6930000000E+00    0.6652967683E+00    0.2770323166E-01
   -0.4500000000E-01    0.6444917310E-02   -0.5144491731E-01
   -0.6060000000E+00   -0.5349395058E+00   -0.7106049419E-01
    0.7240000000E+00    0.7264501216E+00   -0.2450121632E-02
   -0.2490000000E+00   -0.2151659893E+00   -0.3383401070E-01
    0.2490000000E+00    0.3992112132E+00   -0.1502112132E+00
    0.4780000000E+00    0.5111759987E+00   -0.3317599872E-01
    0.4470000000E+00    0.3022311618E+00    0.1447688382E+00
    0.7660000000E+00    0.5179018953E+00    0.2480981047E+00
   -0.1400000000E-01    0.3075489340E+00   -0.3215489340E+00
    0.2040000000E+00    0.6780708230E-01    0.1361929177E+00
    0.2640000000E+00    0.3038654720E+00   -0.3986547197E-01
    0.1185000000E+01    0.1328571375E+01   -0.1435713745E+00
    0.4650000000E+00    0.4737120132E+00   -0.8712013230E-02
    0.4660000000E+00    0.3912525448E+00    0.7474745519E-01
   -0.1040000000E+00   -0.3344029089E+00    0.2304029089E+00
    0.9240000000E+00    0.8241663555E+00    0.9983364449E-01
    0.5060000000E+00    0.6699636026E+00   -0.1639636026E+00
    0.3630000000E+00    0.2150020657E+00    0.1479979343E+00
    0.3230000000E+00    0.3822202020E+00   -0.5922020201E-01
   -0.1180000000E+00   -0.1406954026E+00    0.2269540262E-01
    0.5260000000E+00    0.3385029738E+00    0.1874970262E+00
    0.5900000000E+00    0.4700982128E+00    0.1199017872E+00
    0.3800000000E+00    0.3515679358E+00    0.2843206422E-01
Prediction RMSE and MaxAE:         0.1463376667        0.4151088576
