     Index       y_measurement           y_fitting        descriptor_1        descriptor_2        descriptor_3
        58    0.1497000000E+01    0.1768367064E+01   -0.6163485982E+00   -0.4737274887E-01   -0.5723090181E+00
        59    0.2129000000E+01    0.1974582545E+01   -0.7196633154E+00   -0.3666292765E-01   -0.8495910957E+00
        60    0.1995000000E+01    0.2067467808E+01   -0.7583478261E+00   -0.3542198218E-01   -0.9184851898E+00
        61    0.4181000000E+01    0.4067183565E+01   -0.1410999674E+01   -0.5886603142E-01   -0.9030816239E+00
        62    0.1786000000E+01    0.1581795878E+01   -0.6913827655E+00    0.1573916528E+00   -0.6078954207E+00
        63    0.1222000000E+01    0.1269921317E+01   -0.6326757134E+00    0.2383614892E+00   -0.5338768279E+00
        64    0.1536000000E+01    0.1435945425E+01   -0.7799860648E+00    0.3281090245E+00   -0.8694216145E+00
        65    0.5676000000E+01    0.5779153220E+01   -0.1982398611E+01   -0.3096827377E-01   -0.6993968739E+00
        66    0.2386000000E+01    0.2138333572E+01   -0.7884880114E+00   -0.3223945839E-01   -0.9625367032E+00
        67    0.2282000000E+01    0.2008350891E+01   -0.7121650709E+00   -0.2822967578E-01   -0.6022299067E+00
        68    0.1772000000E+01    0.2043792556E+01   -0.7236695613E+00   -0.2732977149E-01   -0.5925649208E+00
        69    0.2244000000E+01    0.2274115455E+01   -0.6709042967E+00   -0.2848713632E+00   -0.9857291755E+00
        70    0.1915000000E+01    0.2017886779E+01   -0.7404280936E+00   -0.3732273107E-01   -0.9177117564E+00
        71    0.2279000000E+01    0.2142241958E+01   -0.7838929766E+00   -0.3322271840E-01   -0.9090415288E+00
        72    0.1174000000E+01    0.1262025482E+01   -0.6664150728E+00    0.3455245835E+00   -0.1906870986E+00
        73    0.1224000000E+01    0.1281838148E+01   -0.6331292444E+00    0.2356028385E+00   -0.5162729986E+00
        74    0.2324000000E+01    0.2079945004E+01   -0.6718551959E+00   -0.6257788226E-01   -0.1771053874E+00
        75    0.4387000000E+01    0.4361732207E+01   -0.1389506793E+01   -0.6073073463E-01    0.3060047207E+00
        76    0.4678000000E+01    0.4798569428E+01   -0.1657413517E+01   -0.4480199376E-01   -0.8251892064E+00
        77    0.2295000000E+01    0.2174348824E+01   -0.7704087883E+00   -0.5856634803E-01   -0.8312559557E+00
        78    0.4627000000E+01    0.4730141160E+01   -0.1502719022E+01   -0.3291317450E-01    0.5941783587E+00
        79    0.9270000000E+00    0.1085804002E+01   -0.6179608466E+00    0.2644937207E+00   -0.8372142953E+00
        80    0.2239000000E+01    0.2170666113E+01   -0.6963357496E+00   -0.6001633440E-01   -0.1001255814E+00
        81    0.1969000000E+01    0.2053268497E+01   -0.6528147652E+00   -0.6913580642E-01   -0.1179413092E+00
        82    0.1772000000E+01    0.1450409594E+01   -0.7148844175E+00    0.2064075858E+00   -0.9680505035E+00
        83    0.4872000000E+01    0.4727966211E+01   -0.1568651020E+01   -0.3182547410E-01   -0.7651395131E-01
        84    0.1869000000E+01    0.1951984791E+01   -0.6744005633E+00   -0.3950978087E-01   -0.4851609567E+00
        85    0.1570000000E+01    0.1450409594E+01   -0.7148844175E+00    0.2064075858E+00   -0.9680505035E+00
        86    0.2417000000E+01    0.2342694756E+01   -0.6916496367E+00   -0.2783006950E+00   -0.9194716061E+00
        87    0.2190000000E+01    0.2074599000E+01   -0.7325762636E+00   -0.2658585563E-01   -0.5733012399E+00
        88    0.2038000000E+01    0.1977602616E+01   -0.6789358731E+00   -0.3847695611E-01   -0.4371844544E+00
        89    0.4712000000E+01    0.4440979699E+01   -0.1535107261E+01    0.1683247748E+00    0.6195179769E+00
        90    0.2419000000E+01    0.2524234926E+01   -0.7796798371E+00   -0.2358812437E+00   -0.9142912057E+00
        91    0.2139000000E+01    0.2031948264E+01   -0.6908006920E+00   -0.3155135021E-01   -0.3267145890E+00
        92    0.1987000000E+01    0.2138352089E+01   -0.6372003266E+00   -0.2181157288E+00   -0.6609460104E+00
        93    0.1608000000E+01    0.1555509211E+01   -0.6850738514E+00    0.1586566753E+00   -0.6248189357E+00
        94    0.1714000000E+01    0.1771630481E+01   -0.6529631456E+00   -0.4601437299E-01   -0.9245254122E+00
        95    0.2256000000E+01    0.2274115455E+01   -0.6709042967E+00   -0.2848713632E+00   -0.9857291755E+00
        96    0.2021000000E+01    0.2116620213E+01   -0.7470496549E+00   -0.2599344676E-01   -0.5734734883E+00
        97    0.4112000000E+01    0.3996762996E+01   -0.1393572506E+01   -0.6031102059E-01   -0.9752413192E+00
        98    0.2094000000E+01    0.1969855609E+01   -0.6966888249E+00   -0.6529869248E-01   -0.8226158526E+00
        99    0.2078000000E+01    0.2007498846E+01   -0.7142565443E+00   -0.6678308657E-01   -0.8829856974E+00
       100    0.3054000000E+01    0.3167350897E+01   -0.1370975609E+01    0.3261354351E+00   -0.9975978529E+00
       101    0.1732000000E+01    0.1864391690E+01   -0.8288811567E+00    0.1743478438E+00   -0.9311836599E+00
       102    0.2103000000E+01    0.1958055544E+01   -0.7216927752E+00   -0.3655996644E-01   -0.9258185113E+00
       103    0.2719000000E+01    0.3039514223E+01   -0.1128181141E+01    0.2596332950E+00    0.5937467568E+00
       104    0.1339000000E+01    0.1404678693E+01   -0.6242168111E+00    0.2048619069E+00   -0.2119616610E+00
       105    0.2198000000E+01    0.2295946029E+01   -0.6609682666E+00   -0.6963043769E-01    0.6221437486E+00
       106    0.5139000000E+01    0.5046324791E+01   -0.1489382688E+01   -0.2197952166E+00    0.5626328258E+00
       107    0.1458000000E+01    0.1850045359E+01   -0.6274351811E+00   -0.3757410796E-01   -0.3417381237E+00
       108    0.3321000000E+01    0.3378114466E+01   -0.1425422158E+01    0.3056098671E+00   -0.9702875874E+00
       109    0.1588000000E+01    0.1896608620E+01   -0.6702293476E+00   -0.3064295661E-01   -0.5722799737E+00
       110    0.2192000000E+01    0.1961702672E+01   -0.7088816609E+00   -0.3915801614E-01   -0.8004026103E+00
       111    0.4837000000E+01    0.4582671720E+01   -0.1573825796E+01    0.1628351677E+00    0.6716671679E+00
       112    0.1942000000E+01    0.1928045925E+01   -0.7114438838E+00   -0.3734827478E-01   -0.9290145013E+00
