     Index       y_measurement           y_fitting        descriptor_1        descriptor_2        descriptor_3        descriptor_4
        48    0.1859000000E+01    0.1985750166E+01   -0.6775752802E+00   -0.3957177910E-01   -0.5074779191E+00   -0.2777725507E+02
        49    0.1960000000E+01    0.1902966660E+01   -0.6431069259E+00   -0.4378374704E-01   -0.5542015183E+00   -0.6001270454E+02
        50    0.1413000000E+01    0.1608726867E+01   -0.7265200128E+00    0.2091784178E+00   -0.4602462504E+00   -0.3035828324E+02
        51    0.1521000000E+01    0.1603431056E+01   -0.5893213998E+00   -0.4311739745E-01   -0.4009725622E-01    0.3128045982E+03
        52    0.1776000000E+01    0.1754701050E+01   -0.6836864693E+00   -0.4217460022E-01   -0.8185644207E+00    0.1804725536E+03
        53    0.2078000000E+01    0.1974451736E+01   -0.6730399704E+00   -0.3887749185E-01   -0.4966861857E+00   -0.2849210952E+02
        54    0.4720000000E+01    0.4857546141E+01   -0.1745813545E+01    0.1720771414E+00   -0.5228663762E-01   -0.2745307166E+02
        55    0.1393000000E+01    0.1196602674E+01   -0.7313268265E+00    0.3487369825E+00   -0.8662236398E+00   -0.2677525291E+02
        56    0.1370000000E+01    0.1368072996E+01   -0.6139698533E+00    0.2546369804E+00    0.1344361400E+00   -0.5261858604E+02
        57    0.8810000000E+00    0.9720149830E+00   -0.6169179299E+00    0.3703705040E+00   -0.3014870580E+00   -0.2192393495E+02
        58    0.1497000000E+01    0.1662633320E+01   -0.6163485982E+00   -0.4737274887E-01   -0.5723090181E+00    0.1487963673E+03
        59    0.2129000000E+01    0.2023959008E+01   -0.7196633154E+00   -0.3666292765E-01   -0.8495910957E+00   -0.5422106056E+02
        60    0.1995000000E+01    0.2157710185E+01   -0.7583478261E+00   -0.3542198218E-01   -0.9184851898E+00   -0.1071849966E+03
        61    0.4181000000E+01    0.4070524160E+01   -0.1410999674E+01   -0.5886603142E-01   -0.9030816239E+00    0.1462275254E+02
        62    0.1786000000E+01    0.1659089970E+01   -0.6913827655E+00    0.1573916528E+00   -0.6078954207E+00   -0.1422346363E+03
        63    0.1222000000E+01    0.1254911010E+01   -0.6326757134E+00    0.2383614892E+00   -0.5338768279E+00   -0.4594651773E+02
        64    0.1536000000E+01    0.1378866732E+01   -0.7799860648E+00    0.3281090245E+00   -0.8694216145E+00   -0.1769123650E+02
        65    0.5676000000E+01    0.5798842682E+01   -0.1982398611E+01   -0.3096827377E-01   -0.6993968739E+00   -0.9623591414E+01
        66    0.2386000000E+01    0.2177016034E+01   -0.7884880114E+00   -0.3223945839E-01   -0.9625367032E+00   -0.4195624083E+02
        67    0.2282000000E+01    0.2159468260E+01   -0.7121650709E+00   -0.2822967578E-01   -0.6022299067E+00   -0.1857787189E+03
        68    0.1772000000E+01    0.2117066932E+01   -0.7236695613E+00   -0.2732977149E-01   -0.5925649208E+00   -0.8598884021E+02
        69    0.2244000000E+01    0.2295428631E+01   -0.6709042967E+00   -0.2848713632E+00   -0.9857291755E+00    0.4903295169E+02
        70    0.1915000000E+01    0.1817911057E+01   -0.7404280936E+00   -0.3732273107E-01   -0.9177117564E+00    0.2657560304E+03
        71    0.2279000000E+01    0.2187313898E+01   -0.7838929766E+00   -0.3322271840E-01   -0.9090415288E+00   -0.4961124506E+02
        72    0.1174000000E+01    0.1194040719E+01   -0.6664150728E+00    0.3455245835E+00   -0.1906870986E+00   -0.5298787718E+01
        73    0.1224000000E+01    0.1267498537E+01   -0.6331292444E+00    0.2356028385E+00   -0.5162729986E+00   -0.4594651773E+02
        74    0.2324000000E+01    0.2097874979E+01   -0.6718551959E+00   -0.6257788226E-01   -0.1771053874E+00   -0.3203415303E+01
        75    0.4387000000E+01    0.4384413037E+01   -0.1389506793E+01   -0.6073073463E-01    0.3060047207E+00   -0.2983417347E+01
        76    0.4678000000E+01    0.4818719990E+01   -0.1657413517E+01   -0.4480199376E-01   -0.8251892064E+00   -0.8976017354E+01
        77    0.2295000000E+01    0.2199419240E+01   -0.7704087883E+00   -0.5856634803E-01   -0.8312559557E+00   -0.1660372703E+02
        78    0.4627000000E+01    0.4626853467E+01   -0.1502719022E+01   -0.3291317450E-01    0.5941783587E+00    0.1533278913E+03
        79    0.9270000000E+00    0.1176103719E+01   -0.6179608466E+00    0.2644937207E+00   -0.8372142953E+00   -0.1901054579E+03
        80    0.2239000000E+01    0.2188494702E+01   -0.6963357496E+00   -0.6001633440E-01   -0.1001255814E+00   -0.3203415303E+01
        81    0.1969000000E+01    0.2056914947E+01   -0.6528147652E+00   -0.6913580642E-01   -0.1179413092E+00    0.1715995907E+02
