Predictions (y,pred,y-pred) by the model of dimension:     1
    0.9570000000E+03    0.9255109406E+03    0.3148905945E+02
    0.4490000000E+03    0.4448236798E+03    0.4176320222E+01
    0.5350000000E+03    0.5360667100E+03   -0.1066710031E+01
    0.5880000000E+03    0.5478926208E+03    0.4010737919E+02
    0.4110000000E+03    0.3921645738E+03    0.1883542616E+02
    0.5500000000E+03    0.5767670025E+03   -0.2676700245E+02
    0.4380000000E+03    0.3957435054E+03    0.4225649459E+02
    0.3950000000E+03    0.4261467630E+03   -0.3114676299E+02
    0.4510000000E+03    0.4715783970E+03   -0.2057839695E+02
    0.5040000000E+03    0.5231822152E+03   -0.1918221517E+02
    0.4770000000E+03    0.4535092711E+03    0.2349072894E+02
    0.5220000000E+03    0.5496730511E+03   -0.2767305115E+02
    0.5500000000E+03    0.5180666184E+03    0.3193338161E+02
    0.5620000000E+03    0.5694453864E+03   -0.7445386404E+01
    0.5630000000E+03    0.5675841144E+03   -0.4584114450E+01
    0.3250000000E+03    0.3496207724E+03   -0.2462077244E+02
    0.6150000000E+03    0.5685953630E+03    0.4640463703E+02
    0.4190000000E+03    0.4184680342E+03    0.5319658365E+00
    0.4910000000E+03    0.5001442357E+03   -0.9144235672E+01
    0.5000000000E+03    0.5963696666E+03   -0.9636966659E+02
    0.4110000000E+03    0.3984489832E+03    0.1255101680E+02
    0.5260000000E+03    0.5579588937E+03   -0.3195889368E+02
    0.3850000000E+03    0.4134952630E+03   -0.2849526296E+02
    0.3850000000E+03    0.3641439555E+03    0.2085604445E+02
    0.1086000000E+04    0.1074553562E+04    0.1144643848E+02
    0.4900000000E+03    0.4866125924E+03    0.3387407625E+01
    0.5700000000E+03    0.5642992797E+03    0.5700720299E+01
    0.1002000000E+04    0.8995846735E+03    0.1024153265E+03
    0.5500000000E+03    0.5298889994E+03    0.2011100061E+02
    0.2450000000E+03    0.2135958698E+03    0.3140413023E+02
    0.4960000000E+03    0.4832043208E+03    0.1279567921E+02
    0.3620000000E+03    0.3482646999E+03    0.1373530012E+02
    0.5630000000E+03    0.5594650483E+03    0.3534951672E+01
