     Index       y_measurement           y_fitting        descriptor_1
        33    0.1339000000E+01    0.1065855644E+01   -0.2230449073E+02
        34    0.6370000000E+00    0.5215883307E+00   -0.1505685474E+02
        35    0.4410000000E+00    0.1042401017E+00   -0.9499313494E+01
        36    0.7910000000E+00    0.7746871833E+00   -0.1842719925E+02
        37   -0.2080000000E+00    0.8596351298E-02   -0.8225691011E+01
        38    0.1580000000E+00    0.1433642328E+00   -0.1002030282E+02
        39    0.1000000000E+00   -0.7599308641E-01   -0.7099271258E+01
        40    0.1105000000E+01    0.9092549863E+00   -0.2021914675E+02
        41    0.1890000000E+00    0.3551980174E+00   -0.1284114861E+02
        42    0.5090000000E+00    0.9281003234E+00   -0.2047009723E+02
        43   -0.6280000000E+00   -0.3770420808E-01   -0.7609138093E+01
        44    0.3560000000E+00    0.1956500262E+00   -0.1071655701E+02
        45    0.5960000000E+00    0.5713039960E+00   -0.1571888429E+02
        46    0.1760000000E+00    0.1444266445E+00   -0.1003445023E+02
        47    0.7370000000E+00    0.1097100007E+01   -0.2272055056E+02
        48    0.5630000000E+00    0.7267878994E+00   -0.1778935721E+02
        49    0.4510000000E+00    0.4264455779E+00   -0.1378990370E+02
        50    0.2740000000E+00    0.7002993617E+00   -0.1743662745E+02
        51    0.5620000000E+00    0.9341149002E+00   -0.2055018924E+02
        52    0.1690000000E+00    0.1301085176E+00   -0.9843785516E+01
        53    0.8000000000E+00    0.7227337018E+00   -0.1773537023E+02
        54   -0.5020000000E+00   -0.8204281353E-01   -0.7018711175E+01
        55   -0.1230000000E+00    0.1373053442E+00   -0.9939620739E+01
        56    0.1970000000E+00    0.3403582465E+00   -0.1264353752E+02
        57    0.2900000000E-01   -0.1381094689E-01   -0.7927308329E+01
        58   -0.1070000000E+00   -0.2831987181E-01   -0.7734102888E+01
        59    0.1740000000E+00    0.2131588586E+00   -0.1094971017E+02
        60    0.1103000000E+01    0.8818082918E+00   -0.1985365787E+02
        61    0.1239000000E+01    0.1108262902E+01   -0.2286919921E+02
        62   -0.2350000000E+00    0.2464516102E-01   -0.8439402046E+01
        63   -0.1600000000E-01    0.8269593812E-01   -0.9212424586E+01
        64    0.2800000000E-01   -0.7356264206E-01   -0.7131635825E+01
        65    0.1810000000E+00    0.1623384127E+00   -0.1027296901E+02
        66    0.2700000000E-01   -0.8442350373E-01   -0.6987009150E+01
        67    0.2800000000E+00    0.1847864262E+00   -0.1057189387E+02
        68    0.1550000000E+00    0.3416594599E+00   -0.1266086489E+02
        69    0.5840000000E+00    0.3813831926E+00   -0.1318983870E+02
        70    0.7100000000E-01    0.3378721409E+00   -0.1261043175E+02
        71    0.7860000000E+00    0.7571465358E+00   -0.1819362243E+02
        72    0.7100000000E-01    0.6089973991E-01   -0.8922179505E+01
        73    0.4770000000E+00    0.3832690271E+00   -0.1321495107E+02
        74    0.7270000000E+00    0.6118384926E+00   -0.1625865449E+02
        75    0.6400000000E+00    0.1844543876E+00   -0.1056747234E+02
        76    0.9800000000E+00    0.1573921670E+01   -0.2907005890E+02
        77    0.4260000000E+00    0.2360886270E+00   -0.1125505023E+02
        78    0.6510000000E+00    0.1782494940E+00   -0.1048484601E+02
        79    0.1147000000E+01    0.1031005279E+01   -0.2184041222E+02
        80   -0.1590000000E+00    0.2512489481E+00   -0.1145692987E+02
        81    0.7420000000E+00    0.9867146400E+00   -0.2125062404E+02
        82    0.3840000000E+00    0.7426492823E+00   -0.1800057241E+02
        83    0.1600000000E-01    0.9036333874E-01   -0.9314526122E+01
        84    0.4650000000E+00    0.7469778261E+00   -0.1805821267E+02
        85   -0.3900000000E+00   -0.7599308641E-01   -0.7099271258E+01
        86    0.6320000000E+00    0.4609393682E+00   -0.1424923394E+02
        87    0.3170000000E+00    0.1933820860E+00   -0.1068635640E+02
        88    0.8000000000E-01    0.1475066470E+00   -0.1007546452E+02
        89    0.8420000000E+00    0.8694495441E+00   -0.1968908487E+02
        90    0.3470000000E+00    0.2774948008E+00   -0.1180642796E+02
        91    0.5420000000E+00    0.3932477894E+00   -0.1334783143E+02
        92    0.1011000000E+01    0.1195331764E+01   -0.2402863576E+02
        93    0.3050000000E+00    0.7714164612E-01   -0.9138461874E+01
        94    0.8430000000E+00    0.6996640419E+00   -0.1742816733E+02
        95    0.5380000000E+00    0.4557832525E+00   -0.1418057347E+02
        96    0.3600000000E-01   -0.2906758960E-01   -0.7724146041E+01
        97    0.3620000000E+00    0.2218937567E+00   -0.1106602684E+02
        98    0.7120000000E+00    0.8945252835E+00   -0.2002300136E+02
        99    0.1397000000E+01    0.1218906240E+01   -0.2434256095E+02
       100    0.1217000000E+01    0.1218906240E+01   -0.2434256095E+02
       101    0.9710000000E+00    0.7760543474E+00   -0.1844540484E+02
       102    0.9130000000E+00    0.1188736954E+01   -0.2394081718E+02
       103    0.8280000000E+00    0.9534663022E+00   -0.2080787864E+02
       104    0.3800000000E-01   -0.1883040371E+00   -0.5603703055E+01
       105    0.5860000000E+00    0.4532766608E+00   -0.1414719490E+02
       106    0.1034000000E+01    0.7449688561E+00   -0.1803146059E+02
       107    0.2340000000E+00    0.2314293499E+00   -0.1119300582E+02
       108    0.1139000000E+01    0.8888161350E+00   -0.1994697653E+02
       109    0.4410000000E+00    0.6266648844E+00   -0.1645608742E+02
       110    0.9540000000E+00    0.6889257431E+00   -0.1728517274E+02
       111    0.4460000000E+00    0.5274546608E+00   -0.1513497265E+02
       112    0.7670000000E+00    0.8872579241E+00   -0.1992622690E+02
       113    0.7620000000E+00    0.6216836887E+00   -0.1638975624E+02
       114    0.9380000000E+00    0.6644060253E+00   -0.1695866041E+02
       115    0.1061000000E+01    0.8697344953E+00   -0.1969287937E+02
       116    0.3420000000E+00    0.1407619255E+00   -0.9985649671E+01
       117    0.4480000000E+00    0.6245333107E+00   -0.1642770271E+02
       118    0.8210000000E+00    0.6057951609E+00   -0.1617817957E+02
       119    0.1640000000E+00    0.4563455026E+00   -0.1418806057E+02
       120    0.5980000000E+00    0.1108644008E+00   -0.9587524760E+01
       121    0.8960000000E+00    0.4995136690E+00   -0.1476290155E+02
       122    0.3850000000E+00    0.2226003958E+00   -0.1107543667E+02
       123   -0.1160000000E+00    0.1507991303E+00   -0.1011930827E+02
       124    0.6500000000E-01    0.3122567110E+00   -0.1226932857E+02
       125    0.1217000000E+01    0.7770037187E+00   -0.1845804697E+02
       126    0.1100000000E+00    0.8137771918E-01   -0.9194870765E+01
       127   -0.1200000000E+00    0.1438317059E+00   -0.1002652784E+02
       128    0.5260000000E+00    0.3882168300E+00   -0.1328083758E+02
       129    0.1341000000E+01    0.1333011287E+01   -0.2586201991E+02
       130    0.6210000000E+00    0.6057951609E+00   -0.1617817957E+02
       131   -0.2020000000E+00   -0.4235849272E-01   -0.7547160164E+01
       132    0.6120000000E+00    0.5421580749E+00   -0.1533076797E+02
       133    0.2840000000E+00    0.1604551975E+00   -0.1024789152E+02
       134   -0.1580000000E+00    0.1456544705E+00   -0.1005080035E+02
       135   -0.1600000000E-01    0.2464516102E-01   -0.8439402046E+01
       136    0.3560000000E+00    0.3040709889E+00   -0.1216032490E+02
       137    0.5290000000E+00    0.4864660551E+00   -0.1458915539E+02
       138    0.9820000000E+00    0.7919812116E+00   -0.1865749201E+02
       139    0.5200000000E+00    0.3544304057E+00   -0.1283092685E+02
       140    0.5990000000E+00    0.5012909359E+00   -0.1478656820E+02
       141    0.2380000000E+00   -0.3396579995E-01   -0.7658919920E+01
       142    0.9400000000E-01    0.1102462053E+00   -0.9579292673E+01
