     Index       y_measurement           y_fitting        descriptor_1        descriptor_2        descriptor_3        descriptor_4
        51    0.1121000000E+01    0.9485912234E+00   -0.5178651217E+01   -0.2389096923E+00    0.4131380703E+01    0.8334925130E+02
        52    0.8180000000E+00    0.8250997863E+00   -0.5176921008E+01   -0.4420315088E+00    0.4131380703E+01    0.4422248646E+02
        53    0.6060000000E+00    0.7790654204E+00   -0.5265777701E+01   -0.5641658068E+00   -0.3780906372E+01    0.2610052316E+02
        54    0.2215000000E+01    0.2469079137E+01   -0.2025993128E+01   -0.9150415125E+00    0.9956119114E+01    0.1465003509E+03
        55    0.3506000000E+01    0.3417447077E+01   -0.1932181133E+01   -0.4820762105E+00   -0.9275762031E+01    0.3398843749E+02
        56    0.3028000000E+01    0.2568280134E+01   -0.1890460842E+01   -0.1289772794E+01   -0.3780906372E+01    0.4971015176E+02
        57    0.7030000000E+00    0.8949348553E+00   -0.4874420163E+01   -0.5879732366E+00    0.4131380703E+01    0.5323018766E+02
        58    0.8110000000E+00    0.8675482149E+00   -0.5365131592E+01   -0.3185260877E+00    0.3000976643E+01    0.1696908053E+02
        59    0.2522000000E+01    0.2519876196E+01   -0.2791188996E+01   -0.2469207124E+00    0.8111740210E+01    0.1707230615E+03
        60    0.2441000000E+01    0.2535357956E+01   -0.2896598281E+01   -0.2592874399E+00    0.3000976643E+01    0.1496009815E+03
        61    0.9530000000E+00    0.1032971723E+01   -0.4925904446E+01   -0.3916749135E+00    0.8111740210E+01    0.3094586556E+02
        62    0.1482000000E+01    0.1440733291E+01   -0.5085732110E+01   -0.1193304477E+00   -0.9275762031E+01    0.1258597520E+02
        63    0.2635000000E+01    0.2756260058E+01   -0.2320001053E+01   -0.3237618833E+00    0.4131380703E+01    0.2235984602E+03
        64    0.3659000000E+01    0.3838769126E+01   -0.1047098330E+01   -0.1701593573E+00    0.9956119114E+01    0.1920188942E+03
        65    0.1198000000E+01    0.1502802282E+01   -0.4654467367E+01   -0.3395535821E+00   -0.5366633963E+01    0.1092406920E+02
        66    0.1313000000E+01    0.1008889047E+01   -0.5111716725E+01   -0.2886414649E+00    0.4131380703E+01    0.5138062200E+02
        67    0.8460000000E+00    0.1061254692E+01   -0.5435771124E+01   -0.2491376684E+00   -0.9275762031E+01    0.8065096382E+01
        68    0.1537000000E+01    0.1535943778E+01   -0.4997037814E+01   -0.8908133632E-01   -0.9275762031E+01    0.1284815180E+02
        69    0.9030000000E+00    0.7944873322E+00   -0.4914455477E+01   -0.3823762580E+00    0.4131380703E+01    0.2011938903E+03
        70    0.1063000000E+01    0.1180497724E+01   -0.4846440928E+01   -0.3373141770E+00    0.8111740210E+01    0.1138247751E+02
        71    0.1063000000E+01    0.1202453091E+01   -0.5088408095E+01   -0.2987155295E+00   -0.5366633963E+01    0.1877195335E+02
        72    0.8120000000E+00    0.1009838853E+01   -0.4888507610E+01   -0.5232437613E+00    0.3000976643E+01    0.2679149194E+02
        73    0.3733000000E+01    0.3701493469E+01   -0.1803127609E+01   -0.1230959972E+00    0.3000976643E+01    0.3134671705E+02
        74    0.1471000000E+01    0.1291449234E+01   -0.4923812032E+01   -0.1310227215E+00   -0.3038674914E+01    0.1097091172E+03
        75    0.1082000000E+01    0.1202017539E+01   -0.5041586506E+01   -0.3279322674E+00   -0.3780906372E+01    0.1119911419E+02
        76    0.3972000000E+01    0.4019216051E+01   -0.1485544107E+01   -0.1217260434E+00   -0.5366633963E+01    0.4970180407E+02
        77    0.1418000000E+01    0.1560520466E+01   -0.3832207320E+01   -0.5671396006E+00    0.3000976643E+01    0.1365484226E+03
        78    0.1318000000E+01    0.1359264436E+01   -0.4888810821E+01   -0.1095483470E+00   -0.5366633963E+01    0.1153095397E+03
        79    0.3793000000E+01    0.3657120190E+01   -0.2167858377E+01   -0.9993244179E-01   -0.9275762031E+01    0.7535617214E+01
        80    0.6770000000E+00    0.7546410092E+00   -0.5400581401E+01   -0.3365389732E+00    0.8111740210E+01    0.1742899706E+02
        81    0.9610000000E+00    0.9835672094E+00   -0.5083580448E+01   -0.3990089020E+00    0.3000976643E+01    0.2664336413E+02
        82    0.3442000000E+01    0.3688887490E+01   -0.1719971325E+01   -0.1266610113E+00    0.8111740210E+01    0.3323140030E+02
        83    0.9490000000E+00    0.8831215576E+00   -0.5343194555E+01   -0.3203884113E+00    0.3000976643E+01    0.1646501200E+02
        84    0.1061000000E+01    0.9034821404E+00   -0.5077530761E+01   -0.4319299983E+00    0.4131380703E+01    0.4747375761E+02
        85    0.9630000000E+00    0.9541227363E+00   -0.5062763865E+01   -0.2174883105E+00    0.4131380703E+01    0.1395538594E+03
        86    0.4052000000E+01    0.4008737388E+01   -0.1105349071E+01   -0.1875591565E+00   -0.5041208496E+01    0.1751947759E+03
        87    0.2584000000E+01    0.2654472095E+01   -0.2850528088E+01   -0.2804738198E+00   -0.5366633963E+01    0.1532038363E+03
        88    0.2421000000E+01    0.2554197191E+01   -0.2014715359E+01   -0.9187938621E+00    0.4131380703E+01    0.1450445638E+03
        89    0.3658000000E+01    0.3583610709E+01   -0.2213191310E+01   -0.3851655272E-01   -0.9275762031E+01    0.6191002988E+02
        90    0.7510000000E+00    0.9363674971E+00   -0.4879467862E+01   -0.5291842053E+00    0.8111740210E+01    0.3032036822E+02
        91    0.3594000000E+01    0.3378525079E+01   -0.2264198325E+01   -0.2123316869E+00   -0.3038674914E+01    0.1571270722E+02
        92    0.1423000000E+01    0.1309269778E+01   -0.5033196788E+01   -0.1900580592E+00   -0.3038674914E+01    0.2335464816E+02
        93    0.1443000000E+01    0.1241946189E+01   -0.3804987793E+01   -0.6454182012E+00    0.4131380703E+01    0.2734007928E+03
        94    0.1305000000E+01    0.1225041150E+01   -0.4909153473E+01   -0.1266848388E+00    0.3000976643E+01    0.1103074816E+03
        95    0.1031000000E+01    0.1204232159E+01   -0.4760657311E+01   -0.5359489355E+00   -0.5366633963E+01    0.2721923452E+02
        96    0.1288000000E+01    0.1258890093E+01   -0.4987444647E+01   -0.1950146585E+00    0.3000976643E+01    0.2303449266E+02
        97    0.9820000000E+00    0.1007525552E+01   -0.5163241340E+01   -0.2229068853E+00    0.8111740210E+01    0.3653061224E+02
        98    0.1070000000E+01    0.1201621805E+01   -0.5158811253E+01   -0.2105152918E+00   -0.5366633963E+01    0.3698042482E+02
        99    0.6880000000E+00    0.7178275816E+00   -0.5216171608E+01   -0.3542269384E+00    0.9956119114E+01    0.9095800908E+02
       100    0.1169000000E+01    0.1251684720E+01   -0.5062776765E+01   -0.1254596553E+00   -0.3038674914E+01    0.7715570987E+02
       101    0.8290000000E+00    0.7657593580E+00   -0.5419904634E+01   -0.3070767941E+00    0.8111740210E+01    0.1896695796E+02
       102    0.9670000000E+00    0.9513671920E+00   -0.5068634118E+01   -0.2193543246E+00    0.4131380703E+01    0.1376555840E+03
       103    0.1447000000E+01    0.1353223629E+01   -0.4992438598E+01   -0.2094763392E+00   -0.5366633963E+01    0.2276166449E+02
       104    0.1183000000E+01    0.1258151177E+01   -0.5075373313E+01   -0.1459362396E+00   -0.5366633963E+01    0.7460681588E+02
       105    0.1260000000E+01    0.1135779857E+01   -0.4648417338E+01   -0.3683856508E+00   -0.5041208496E+01    0.1978830896E+03
       106    0.9210000000E+00    0.9693591860E+00   -0.5213047584E+01   -0.3219217787E+00    0.3000976643E+01    0.2191762698E+02
       107    0.2953000000E+01    0.3010649930E+01   -0.2045333507E+01   -0.5557067714E+00    0.3000976643E+01    0.8208243001E+02
       108    0.3511000000E+01    0.3487326399E+01   -0.2084492119E+01   -0.2521628551E+00   -0.3780906372E+01    0.1432341220E+02
       109    0.1529000000E+01    0.1684191871E+01   -0.3806574402E+01   -0.5328553632E+00   -0.3038674914E+01    0.1415635567E+03
       110    0.1439000000E+01    0.1430241358E+01   -0.3855187460E+01   -0.5807375735E+00    0.8111740210E+01    0.1540728967E+03
       111    0.1229000000E+01    0.9838250710E+00   -0.3986914515E+01   -0.5713706997E+00    0.9956119114E+01    0.3369764821E+03
       112    0.3664000000E+01    0.3583610709E+01   -0.2213191310E+01   -0.3851655272E-01   -0.9275762031E+01    0.6191002988E+02
       113    0.3624000000E+01    0.3658259280E+01   -0.1614070276E+01   -0.2251628609E+00    0.4131380703E+01    0.7076703798E+02
       114    0.3368000000E+01    0.3177832942E+01   -0.2107417692E+01   -0.3410639332E+00    0.9956119114E+01    0.2726747033E+02
       115    0.1228000000E+01    0.1234871082E+01   -0.4898938931E+01   -0.3916749135E+00   -0.5366633963E+01    0.2982748364E+02
       116    0.1025000000E+01    0.9557018462E+00   -0.5362861831E+01   -0.3124275017E+00   -0.3038674914E+01    0.1692860787E+02
