Predictions (y,pred,y-pred) by the model of dimension:     1
    0.2270000000E+01    0.2170471460E+01    0.9952853962E-01
    0.1025000000E+01    0.9831713954E+00    0.4182860457E-01
    0.9700000000E+00    0.9832926805E+00   -0.1329268046E-01
    0.1425000000E+01    0.1199832804E+01    0.2251671957E+00
    0.9100000000E+00    0.8857139386E+00    0.2428606139E-01
    0.9110000000E+00    0.9069324933E+00    0.4067506666E-02
    0.1156000000E+01    0.1020868160E+01    0.1351318404E+00
    0.8860000000E+00    0.9670207247E+00   -0.8102072475E-01
    0.1160000000E+01    0.1140711919E+01    0.1928808105E-01
    0.8470000000E+00    0.9241530847E+00   -0.7715308469E-01
    0.1082000000E+01    0.1150409802E+01   -0.6840980166E-01
    0.1139000000E+01    0.1136513925E+01    0.2486075394E-02
    0.1067000000E+01    0.9307306328E+00    0.1362693672E+00
    0.8370000000E+00    0.8693411171E+00   -0.3234111712E-01
    0.7760000000E+00    0.9557161119E+00   -0.1797161119E+00
    0.7340000000E+00    0.9560717574E+00   -0.2220717574E+00
    0.1145000000E+01    0.9940838334E+00    0.1509161666E+00
    0.7750000000E+00    0.8668479011E+00   -0.9184790109E-01
    0.9470000000E+00    0.9793596667E+00   -0.3235966666E-01
    0.2565000000E+01    0.2558903158E+01    0.6096841651E-02
    0.2044000000E+01    0.2061669513E+01   -0.1766951312E-01
    0.2723000000E+01    0.2565327405E+01    0.1576725952E+00
    0.1225000000E+01    0.1124946753E+01    0.1000532471E+00
    0.1818000000E+01    0.1935182178E+01   -0.1171821785E+00
    0.3630000000E+00    0.6437419326E+00   -0.2807419326E+00
    0.1089000000E+01    0.1009824095E+01    0.7917590500E-01
    0.1016000000E+01    0.9662750641E+00    0.4972493591E-01
    0.7910000000E+00    0.1107551077E+01   -0.3165510770E+00
    0.2300000000E+01    0.2389536137E+01   -0.8953613720E-01
    0.7380000000E+00    0.8295431967E+00   -0.9154319669E-01
    0.9010000000E+00    0.9864597032E+00   -0.8545970325E-01
    0.2567000000E+01    0.2572501025E+01   -0.5501025105E-02
    0.8670000000E+00    0.9962025476E+00   -0.1292025476E+00
    0.2284000000E+01    0.2443453391E+01   -0.1594533913E+00
    0.9470000000E+00    0.9490890254E+00   -0.2089025426E-02
    0.2423000000E+01    0.2600458015E+01   -0.1774580154E+00
