Predictions (y,pred,y-pred) by the model of dimension:     1
    0.2240000000E+01    0.2081507999E+01    0.1584920012E+00
    0.5775000000E+01    0.5524152710E+01    0.2508472896E+00
    0.4725000000E+01    0.4841001951E+01   -0.1160019512E+00
    0.5136000000E+01    0.4857546141E+01    0.2784538589E+00
    0.2397000000E+01    0.2390878171E+01    0.6121828520E-02
    0.1496000000E+01    0.1669397387E+01   -0.1733973872E+00
    0.2149000000E+01    0.2114056424E+01    0.3494357645E-01
    0.3806000000E+01    0.4074162884E+01   -0.2681628839E+00
    0.4629000000E+01    0.4217538059E+01    0.4114619406E+00
    0.1895000000E+01    0.1948456371E+01   -0.5345637062E-01
    0.2188000000E+01    0.2149214018E+01    0.3878598215E-01
    0.1776000000E+01    0.2081355533E+01   -0.3053555330E+00
    0.1896000000E+01    0.2073093809E+01   -0.1770938094E+00
    0.2275000000E+01    0.1905648021E+01    0.3693519793E+00
    0.1639000000E+01    0.1926388077E+01   -0.2873880773E+00
    0.4920000000E+01    0.4912585292E+01    0.7414707774E-02
    0.1865000000E+01    0.1936837241E+01   -0.7183724060E-01
    0.1461000000E+01    0.1411782690E+01    0.4921731021E-01
    0.4311000000E+01    0.4194696309E+01    0.1163036911E+00
    0.4190000000E+01    0.4064990026E+01    0.1250099740E+00
    0.1106000000E+01    0.1814883614E+01   -0.7088836142E+00
Prediction RMSE and MaxAE:         0.2346881581        0.7088836142
